index,DATE,ASM_DOMESTIC,ASM_INTERNATIONAL,FLIGHTS_DOMESTIC,FLIGHTS_INTERNATIONAL,PASSENGERS_DOMESTIC,PASSENGERS_INTERNATIONAL,RPM_DOMESTIC,RPM_INTERNATIONAL,AIRLINE_CODE,AIRPORT_CODE
0,2002-10-01,59854,0.0,774,0.0,60464,59.0,38363,0.0,FA,FKT
1,2002-11-01,55009,0.0,733,0.0,57649,0.0,36286,0.0,FA,FKT
2,2002-12-01,56586,0.0,745,0.0,66240,0.0,41907,0.0,FA,FKT
3,2003-01-01,57448,0.0,754,0.0,55317,4.0,35118,0.0,FA,FKT
4,2003-02-01,54006,0.0,674,0.0,53216,65.0,33724,0.0,FA,FKT
5,2003-03-01,61306,0.0,755,0.0,62656,68.0,39839,0.0,FA,FKT
6,2003-04-01,59205,0.0,739,0.0,60998,98.0,38776,0.0,FA,FKT
7,2003-05-01,60778,0.0,750,0.0,66503,191.0,42659,0.0,FA,FKT
8,2003-06-01,58660,0.0,749,0.0,71537,153.0,45628,0.0,FA,FKT
9,2003-07-01,58967,0.0,769,0.0,72092,270.0,46152,0.0,FA,FKT
10,2003-08-01,59835,0.0,758,0.0,64000,104.0,41162,0.0,FA,FKT
11,2003-09-01,58603,0.0,743,0.0,55447,58.0,35554,0.0,FA,FKT
12,2003-10-01,61480,0.0,773,0.0,62865,58.0,40381,0.0,FA,FKT
13,2003-11-01,54231,0.0,656,0.0,50931,141.0,34286,0.0,FA,FKT
14,2003-12-01,56589,0.0,687,0.0,56330,183.0,37553,0.0,FA,FKT
15,2004-01-01,56186,0.0,690,0.0,50075,61.0,33625,0.0,FA,FKT
16,2004-02-01,50340,0.0,621,0.0,47066,35.0,31355,0.0,FA,FKT
17,2004-03-01,56737,0.0,701,0.0,57356,36.0,38286,0.0,FA,FKT
18,2004-04-01,56421,0.0,687,0.0,57307,43.0,38421,0.0,FA,FKT
19,2004-05-01,57392,0.0,683,0.0,59912,0.0,40018,0.0,FA,FKT
20,2004-06-01,55382,0.0,651,0.0,59962,0.0,40070,0.0,FA,FKT
21,2004-07-01,54610,0.0,641,0.0,58393,0.0,39071,0.0,FA,FKT
22,2004-08-01,53930,0.0,630,0.0,51419,0.0,34625,0.0,FA,FKT
23,2004-09-01,49847,0.0,574,0.0,47245,0.0,32005,0.0,FA,FKT
24,2004-10-01,54755,0.0,633,0.0,56010,0.0,37756,0.0,FA,FKT
25,2004-11-01,53410,0.0,618,0.0,53956,0.0,36278,0.0,FA,FKT
26,2004-12-01,55263,0.0,640,0.0,60175,0.0,40453,0.0,FA,FKT
27,2005-01-01,51011,0.0,592,0.0,46815,0.0,31525,0.0,FA,FKT
28,2005-02-01,47408,0.0,548,0.0,47022,0.0,31421,0.0,FA,FKT
29,2005-03-01,54469,0.0,619,0.0,58225,0.0,38784,0.0,FA,FKT
30,2005-04-01,56520,0.0,620,0.0,56697,146.0,38066,0.0,FA,FKT
31,2005-05-01,60153,0.0,650,0.0,60327,160.0,40416,0.0,FA,FKT
32,2005-06-01,65703,0.0,699,0.0,69660,256.0,47284,0.0,FA,FKT
33,2005-07-01,68125,0.0,722,0.0,71360,341.0,48682,0.0,FA,FKT
34,2005-08-01,67223,0.0,711,0.0,61817,234.0,42603,0.0,FA,FKT
35,2005-09-01,64583,0.0,680,0.0,62012,118.0,42467,0.0,FA,FKT
36,2005-10-01,63408,0.0,668,0.0,66786,178.0,45712,0.0,FA,FKT
37,2005-11-01,61262,0.0,644,0.0,67391,48.0,46252,0.0,FA,FKT
38,2005-12-01,61800,0.0,650,0.0,70801,73.0,48229,0.0,FA,FKT
39,2006-01-01,62079,0.0,655,0.0,57655,35.0,39429,0.0,FA,FKT
40,2006-02-01,55361,0.0,584,0.0,56441,47.0,38536,0.0,FA,FKT
41,2006-03-01,62742,0.0,661,0.0,69593,74.0,47338,0.0,FA,FKT
42,2006-04-01,66036,0.0,696,0.0,74414,87.0,50720,0.0,FA,FKT
43,2006-05-01,68562,0.0,722,0.0,78972,212.0,54139,0.0,FA,FKT
44,2006-06-01,67165,0.0,708,0.0,79307,264.0,54173,0.0,FA,FKT
45,2006-07-01,67248,0.0,710,0.0,76982,361.0,52706,0.0,FA,FKT
46,2006-08-01,68005,0.0,716,0.0,65043,169.0,44676,0.0,FA,FKT
47,2006-09-01,62392,0.0,655,0.0,58299,102.0,39941,0.0,FA,FKT
48,2006-10-01,65455,0.0,687,0.0,65844,131.0,44926,0.0,FA,FKT
49,2006-11-01,61786,0.0,649,0.0,64960,142.0,44509,0.0,FA,FKT
50,2006-12-01,63029,0.0,661,0.0,68272,127.0,46582,0.0,FA,FKT
51,2007-01-01,63259,0.0,664,0.0,60206,118.0,41131,0.0,FA,FKT
52,2007-02-01,55289,0.0,579,0.0,57392,42.0,39295,0.0,FA,FKT
53,2007-03-01,63802,0.0,668,0.0,71184,80.0,48484,0.0,FA,FKT
54,2007-04-01,64960,0.0,676,0.0,69967,35.0,48008,0.0,FA,FKT
55,2007-05-01,68074,0.0,709,0.0,73728,9.0,50339,0.0,FA,FKT
56,2007-06-01,65374,0.0,678,0.0,76072,38.0,52026,0.0,FA,FKT
57,2007-07-01,67771,107.0,703,1.0,77005,12.0,52592,88.0,FA,FKT
58,2007-08-01,68779,0.0,711,0.0,74170,20.0,50930,0.0,FA,FKT
59,2007-09-01,64457,0.0,668,0.0,64897,34.0,44276,0.0,FA,FKT
60,2007-10-01,68466,0.0,707,0.0,71648,56.0,48898,0.0,FA,FKT
61,2007-11-01,64764,0.0,669,0.0,67568,33.0,46242,0.0,FA,FKT
62,2007-12-01,66857,0.0,687,0.0,66547,31.0,45862,0.0,FA,FKT
63,2008-01-01,64953,0.0,669,0.0,57092,7.0,39242,0.0,FA,FKT
64,2008-02-01,60901,0.0,626,0.0,59175,22.0,40633,0.0,FA,FKT
65,2008-03-01,64161,0.0,661,0.0,69906,32.0,48187,0.0,FA,FKT
66,2008-04-01,62835,0.0,645,0.0,63995,161.0,43962,0.0,FA,FKT
67,2008-05-01,67912,0.0,697,0.0,68133,162.0,46738,0.0,FA,FKT
68,2008-06-01,66335,0.0,683,0.0,68780,224.0,47099,0.0,FA,FKT
69,2008-07-01,69194,0.0,710,0.0,69416,267.0,47691,0.0,FA,FKT
70,2008-08-01,67369,107.0,692,1.0,61618,235.0,42427,60.0,FA,FKT
71,2008-09-01,65978,0.0,681,0.0,52321,49.0,35867,0.0,FA,FKT
72,2008-10-01,68695,0.0,708,0.0,59440,30.0,40489,0.0,FA,FKT
73,2008-11-01,53060,0.0,555,0.0,47032,75.0,31827,0.0,FA,FKT
74,2008-12-01,54601,0.0,570,0.0,54271,67.0,36446,0.0,FA,FKT
75,2009-01-01,52903,0.0,554,0.0,44906,51.0,30282,0.0,FA,FKT
76,2009-02-01,48424,0.0,508,0.0,44844,71.0,30114,0.0,FA,FKT
77,2009-03-01,54011,0.0,565,0.0,57072,82.0,38188,0.0,FA,FKT
78,2009-04-01,54179,0.0,567,0.0,61197,56.0,41005,0.0,FA,FKT
79,2009-05-01,56863,0.0,595,0.0,61885,58.0,41313,0.0,FA,FKT
80,2009-06-01,53875,0.0,565,0.0,67300,73.0,45028,0.0,FA,FKT
81,2009-07-01,55769,0.0,586,0.0,64983,157.0,43628,0.0,FA,FKT
82,2009-08-01,54669,0.0,572,0.0,55009,144.0,37216,0.0,FA,FKT
83,2009-09-01,51560,0.0,536,0.0,48954,145.0,33222,0.0,FA,FKT
84,2009-10-01,53947,0.0,560,0.0,55022,134.0,37390,0.0,FA,FKT
85,2009-11-01,49746,0.0,518,0.0,47385,110.0,32034,0.0,FA,FKT
86,2009-12-01,48657,0.0,508,0.0,51512,54.0,34627,0.0,FA,FKT
87,2010-01-01,48024,0.0,503,0.0,47152,22.0,31864,0.0,FA,FKT
88,2010-02-01,43257,0.0,454,0.0,43117,42.0,29000,0.0,FA,FKT
89,2010-03-01,50680,0.0,531,0.0,56901,29.0,38187,0.0,FA,FKT
90,2010-04-01,41749,107.0,427,1.0,45132,51.0,31091,97.0,FA,FKT
91,2010-05-01,40388,0.0,412,0.0,45812,84.0,31582,0.0,FA,FKT
92,2010-06-01,39908,0.0,404,0.0,42620,213.0,29637,0.0,FA,FKT
93,2010-07-01,40742,0.0,412,0.0,46368,330.0,32299,0.0,FA,FKT
94,2010-08-01,41556,0.0,418,0.0,40127,118.0,28017,0.0,FA,FKT
95,2010-09-01,40497,0.0,404,0.0,38854,138.0,27119,0.0,FA,FKT
96,2010-10-01,42193,0.0,421,0.0,46181,109.0,32086,0.0,FA,FKT
97,2010-11-01,41164,0.0,412,0.0,40992,79.0,28470,0.0,FA,FKT
98,2010-12-01,43951,0.0,438,0.0,45964,129.0,31807,0.0,FA,FKT
99,2011-01-01,41915,0.0,418,0.0,35995,32.0,25309,0.0,FA,FKT
100,2011-02-01,37782,0.0,378,0.0,34060,24.0,23596,0.0,FA,FKT
101,2011-03-01,43670,0.0,435,0.0,39901,29.0,27775,0.0,FA,FKT
102,2011-04-01,42582,0.0,425,0.0,42252,444.0,29500,0.0,FA,FKT
103,2011-05-01,42193,0.0,422,0.0,44746,403.0,31167,0.0,FA,FKT
104,2011-06-01,44031,0.0,434,0.0,49199,209.0,34048,0.0,FA,FKT
105,2011-07-01,44486,0.0,439,0.0,50551,65.0,34667,0.0,FA,FKT
106,2011-08-01,44135,0.0,436,0.0,41232,189.0,28654,0.0,FA,FKT
107,2011-09-01,42495,0.0,426,0.0,40082,201.0,27630,0.0,FA,FKT
108,2011-10-01,44227,0.0,443,0.0,46420,190.0,31943,0.0,FA,FKT
109,2011-11-01,41991,0.0,418,0.0,43833,218.0,30068,0.0,FA,FKT
110,2011-12-01,45311,0.0,449,0.0,47597,222.0,32240,0.0,FA,FKT
111,2012-01-01,47536,0.0,474,0.0,39279,50.0,26826,0.0,FA,FKT
112,2012-02-01,41712,0.0,414,0.0,34833,109.0,23828,0.0,FA,FKT
113,2012-03-01,47784,0.0,470,0.0,45290,237.0,31160,0.0,FA,FKT
114,2012-04-01,38000,0.0,378,0.0,36496,60.0,25327,0.0,FA,FKT
115,2012-05-01,40870,0.0,406,0.0,41541,74.0,28759,0.0,FA,FKT
116,2012-06-01,39626,0.0,394,0.0,40313,188.0,27842,0.0,FA,FKT
117,2012-07-01,38715,0.0,385,0.0,39204,298.0,27209,0.0,FA,FKT
118,2012-08-01,37161,0.0,369,0.0,34557,216.0,24278,0.0,FA,FKT
119,2012-09-01,35344,0.0,352,0.0,29218,110.0,20444,0.0,FA,FKT
120,2012-10-01,38684,0.0,385,0.0,37039,97.0,25786,0.0,FA,FKT
121,2012-11-01,38877,0.0,387,0.0,36367,85.0,25265,0.0,FA,FKT
122,2012-12-01,41483,0.0,414,0.0,41561,0.0,28488,0.0,FA,FKT
123,2013-01-01,42387,0.0,426,0.0,34681,0.0,24128,0.0,FA,FKT
124,2013-02-01,38150,0.0,385,0.0,33428,0.0,22927,0.0,FA,FKT
125,2013-03-01,42564,0.0,432,0.0,40483,0.0,27744,0.0,FA,FKT
126,2013-04-01,36929,0.0,384,0.0,36335,0.0,25185,0.0,FA,FKT
127,2013-05-01,37555,0.0,393,0.0,41227,0.0,28199,0.0,FA,FKT
128,2013-06-01,37077,0.0,388,0.0,42449,142.0,29235,0.0,FA,FKT
129,2013-07-01,39514,0.0,408,0.0,41420,212.0,28963,0.0,FA,FKT
130,2013-08-01,38453,0.0,398,0.0,35129,120.0,24432,0.0,FA,FKT
131,2013-09-01,35174,0.0,365,0.0,31665,0.0,22067,0.0,FA,FKT
132,2013-10-01,37415,0.0,387,0.0,42063,0.0,29357,0.0,FA,FKT
133,2013-11-01,35374,0.0,366,0.0,36082,0.0,25022,0.0,FA,FKT
134,2013-12-01,35386,0.0,368,0.0,40889,0.0,27830,0.0,FA,FKT
135,2014-01-01,38586,0.0,400,0.0,36528,0.0,25348,0.0,FA,FKT
136,2014-02-01,32939,0.0,341,0.0,37977,0.0,26260,0.0,FA,FKT
137,2014-03-01,39151,0.0,406,0.0,45699,0.0,31551,0.0,FA,FKT
138,2014-04-01,38317,0.0,397,0.0,45052,0.0,31344,0.0,FA,FKT
139,2014-05-01,38130,0.0,395,0.0,51104,0.0,35199,0.0,FA,FKT
140,2014-06-01,38195,0.0,399,0.0,50156,0.0,34569,0.0,FA,FKT
141,2014-07-01,39011,0.0,411,0.0,49595,0.0,34223,0.0,FA,FKT
142,2014-08-01,36188,0.0,380,0.0,43880,0.0,30671,0.0,FA,FKT
143,2014-09-01,33972,0.0,352,0.0,39408,0.0,27966,0.0,FA,FKT
144,2014-10-01,34592,0.0,360,0.0,41631,0.0,29519,0.0,FA,FKT
145,2014-11-01,33700,0.0,360,0.0,39628,0.0,27943,0.0,FA,FKT
146,2014-12-01,36682,0.0,389,0.0,42697,0.0,30005,0.0,FA,FKT
147,2015-01-01,36459,0.0,396,0.0,40162,0.0,28042,0.0,FA,FKT
148,2015-02-01,31150,0.0,339,0.0,34902,0.0,24384,0.0,FA,FKT
149,2015-03-01,58303,0.0,476,0.0,50790,0.0,45511,0.0,FA,FKT
150,2015-04-01,59041,0.0,465,0.0,52245,0.0,47842,0.0,FA,FKT
151,2015-05-01,57560,0.0,461,0.0,54770,0.0,48291,0.0,FA,FKT
152,2015-06-01,58795,0.0,479,0.0,59954,16.0,53764,0.0,FA,FKT
153,2015-07-01,118893,0.0,1040,0.0,142974,32.0,112338,0.0,FA,FKT
154,2015-08-01,110300,0.0,978,0.0,128972,37.0,97669,0.0,FA,FKT
155,2015-09-01,100630,0.0,912,0.0,121215,63.0,87525,0.0,FA,FKT
156,2015-10-01,108766,0.0,968,0.0,129563,46.0,98774,0.0,FA,FKT
157,2015-11-01,104448,0.0,927,0.0,122524,122.0,93355,0.0,FA,FKT
158,2015-12-01,104262,0.0,922,0.0,124347,145.0,95897,0.0,FA,FKT
159,2016-01-01,90239,0.0,815,0.0,105835,65.0,81073,0.0,FA,FKT
160,2016-02-01,81977,0.0,792,0.0,87860,38.0,70421,0.0,FA,FKT
161,2016-03-01,88853,0.0,858,0.0,98310,83.0,77773,0.0,FA,FKT
162,2016-04-01,88782,0.0,844,0.0,104517,283.0,81573,0.0,FA,FKT
163,2016-05-01,110759,0.0,1082,0.0,144985,282.0,105595,0.0,FA,FKT
164,2016-06-01,103866,0.0,1005,0.0,127941,255.0,98451,0.0,FA,FKT
165,2016-07-01,108980,0.0,1048,0.0,127795,150.0,101562,0.0,FA,FKT
166,2016-08-01,107707,0.0,1056,0.0,112763,130.0,91377,0.0,FA,FKT
167,2016-09-01,106585,0.0,1053,0.0,118802,171.0,91677,0.0,FA,FKT
168,2016-10-01,118251,0.0,1138,0.0,131622,194.0,102655,0.0,FA,FKT
169,2016-11-01,109399,0.0,1077,0.0,115485,51.0,90406,0.0,FA,FKT
170,2016-12-01,113250,0.0,1082,0.0,119060,54.0,93736,0.0,FA,FKT
171,2017-01-01,112822,0.0,1084,0.0,106483,0.0,85825,0.0,FA,FKT
172,2017-02-01,107408,0.0,1031,0.0,105617,0.0,83535,0.0,FA,FKT
173,2017-03-01,126094,0.0,1194,0.0,131823,0.0,105153,0.0,FA,FKT
174,2002-10-01,2093602,887184.0,16535,1357.0,2120947,176671.0,1527419,597313.0,GA,FKT
175,2002-11-01,1999098,823130.0,15658,1301.0,1993739,172111.0,1434927,566487.0,GA,FKT
176,2002-12-01,2057104,783201.0,16038,1298.0,2159529,183952.0,1615439,579713.0,GA,FKT
177,2003-01-01,2068740,780766.0,16316,1301.0,1880538,169462.0,1409105,536961.0,GA,FKT
